Bin_ID	Adherence	Antimicrobial	Biofilm	EDS	Exoenzyme	Exotoxin	Immune Mod.	Invasion	Motility	Nutri/Metab	Others	PTM	Regulation	Stress Survival	Total_VFs	Taxonomy	Full_Taxonomy	MAG_ID	Taxonomy_Label
binning_output.070	4	1	0	2	0	1	8	0	8	5	0	0	0	1	29	Aliarcobacter(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	S1-070	Aliarcobacter(G) S1-070
binning_output.112	6	0	4	3	0	1	5	0	3	2	2	0	3	0	29	Unclassified Bacteria (D)	Unclassified Bacteria	S1-112	Unclassified Bacteria (D) S1-112
binning_output.063	3	0	1	4	0	1	16	0	1	3	0	0	0	0	29	Unclassified Bacteria (D)	Unclassified Bacteria	S1-063	Unclassified Bacteria (D) S1-063
binning_output.163	4	2	0	2	1	1	4	0	8	3	1	0	2	0	28	DSM-21967(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__DSM-21967;g__;s__	S1-163	DSM-21967(F) S1-163
binning_output.178	1	1	0	5	0	1	9	0	3	6	0	0	1	1	27	Giesbergeria(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__	S1-178	Giesbergeria(G) S1-178
binning_output.026	4	0	0	1	0	2	12	0	6	2	0	0	0	0	27	Aliarcobacter(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	S1-026	Aliarcobacter(G) S1-026
binning_output.045	4	1	2	2	0	1	5	0	2	7	1	0	2	2	27	Comamonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	S1-045	Comamonas(G) S1-045
binning_output.079	4	2	1	3	0	0	4	0	6	3	1	0	3	1	27	Pararheinheimera(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__	S1-079	Pararheinheimera(G) S1-079
binning_output.098	5	0	0	1	0	2	7	0	7	4	0	0	1	0	27	JAGOXX01(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__JAGOXX01;s__	S1-098	JAGOXX01(G) S1-098
binning_output.237	6	0	1	2	0	0	7	0	4	6	0	0	1	0	27	J088(P)	d__Bacteria;p__J088;c__;o__;f__;g__;s__	S1-237	J088(P) S1-237
binning_output.096	5	0	4	1	0	0	7	0	4	1	0	0	4	0	26	Thiopseudomonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Thiopseudomonas;s__	S1-096	Thiopseudomonas(G) S1-096
binning_output.183	2	0	3	1	0	3	4	0	4	7	0	0	2	2	26	Agathobacter(G)	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__	S1-183	Agathobacter(G) S1-183
binning_output.052	4	1	0	5	0	2	3	0	4	6	1	0	0	1	26	Acidovorax(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Acidovorax;s__	S1-052	Acidovorax(G) S1-052
binning_output.198	2	1	1	2	0	2	4	0	7	5	0	0	2	2	26	Sulfurimonas sp002452425(S)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurimonadaceae;g__Sulfurimonas;s__Sulfurimonas sp002452425	S1-198	Sulfurimonas sp002452425(S) S1-198
binning_output.256	3	1	0	3	0	1	7	1	2	6	1	0	1	0	26	Egerieousia(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Egerieousia;s__	S1-256	Egerieousia(G) S1-256
binning_output.022	8	1	1	8	0	0	4	0	1	3	0	0	0	0	26	Acinetobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	S1-022	Acinetobacter(G) S1-022
binning_output.033	9	1	0	3	0	0	3	0	2	6	0	0	1	3	25	Aquabacterium sp017989885(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Aquabacterium;s__Aquabacterium sp017989885	S1-033	Aquabacterium sp017989885(S) S1-033
binning_output.252	4	2	0	4	0	1	9	0	1	4	0	0	0	0	25	Cryptobacteroides(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Cryptobacteroides;s__	S1-252	Cryptobacteroides(G) S1-252
binning_output.130	2	0	2	3	2	3	6	0	1	5	0	0	1	0	25	Flavobacterium(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	S1-130	Flavobacterium(G) S1-130
binning_output.177	3	0	1	3	0	2	5	0	3	7	0	0	1	1	25	Acetatifactor(G)	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Acetatifactor;s__	S1-177	Acetatifactor(G) S1-177
binning_output.272	2	0	1	0	0	3	7	0	2	8	0	0	2	0	25	Desulfobacter(G)	d__Bacteria;p__Desulfobacterota;c__Desulfobacteria;o__Desulfobacterales;f__Desulfobacteraceae;g__Desulfobacter;s__	S1-272	Desulfobacter(G) S1-272
binning_output.027	3	0	2	1	0	1	11	0	2	2	0	0	3	0	25	Pararheinheimera tangshanensis(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Alteromonadaceae;g__Pararheinheimera;s__Pararheinheimera tangshanensis	S1-027	Pararheinheimera tangshanensis(S) S1-027
binning_output.218	6	0	0	1	0	1	6	0	5	5	0	0	0	1	24	Rhodocyclaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	S1-218	Rhodocyclaceae(F) S1-218
binning_output.018	1	0	0	0	0	1	5	0	4	8	0	1	3	1	23	Aliarcobacter(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	S1-018	Aliarcobacter(G) S1-018
binning_output.271	4	1	0	0	0	1	6	0	5	4	1	0	1	1	23	Pseudomonadota(P)	d__Bacteria;p__Pseudomonadota;c__;o__;f__;g__;s__	S1-271	Pseudomonadota(P) S1-271
binning_output.141	7	1	0	1	2	1	2	0	0	7	0	0	2	0	23	Acinetobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	S1-141	Acinetobacter(G) S1-141
binning_output.049	6	0	1	0	0	1	3	0	5	6	0	0	1	0	23	Stutzerimonas xanthomarina_A(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__Stutzerimonas xanthomarina_A	S1-049	Stutzerimonas xanthomarina_A(S) S1-049
binning_output.121	5	0	1	0	1	1	11	0	3	0	0	0	1	0	23	W0P28-013(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Paludibacteraceae;g__W0P28-013;s__	S1-121	W0P28-013(G) S1-121
binning_output.260	7	1	0	4	0	0	1	0	4	5	0	0	0	1	22	Rhodocyclaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	S1-260	Rhodocyclaceae(F) S1-260
binning_output.039	3	1	0	8	0	0	8	0	1	1	0	0	0	2	22	Acinetobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	S1-039	Acinetobacter(G) S1-039
binning_output.095	4	2	2	1	0	1	2	0	7	1	1	0	0	0	21	Hydrogenophaga(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__	S1-095	Hydrogenophaga(G) S1-095
binning_output.199	4	0	0	2	0	2	13	0	0	0	0	0	0	0	21	Bacteroides(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	S1-199	Bacteroides(G) S1-199
binning_output.047	5	1	3	1	1	0	5	0	4	1	0	0	0	1	21	Acidiluteibacter(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Vicingaceae;g__Acidiluteibacter;s__	S1-047	Acidiluteibacter(G) S1-047
binning_output.200	5	2	1	3	0	0	5	0	1	3	0	0	0	1	20	Dialister sp000434475(S)	d__Bacteria;p__Bacillota_C;c__Negativicutes;o__Veillonellales;f__Dialisteraceae;g__Dialister;s__Dialister sp000434475	S1-200	Dialister sp000434475(S) S1-200
binning_output.092	1	0	0	1	0	0	10	0	2	6	0	0	0	0	20	MAG-120531 sp024643325(S)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__MAG-120531;s__MAG-120531 sp024643325	S1-092	MAG-120531 sp024643325(S) S1-092
binning_output.073	6	0	1	2	1	0	1	0	7	1	0	0	1	0	20	Pseudomonas_E(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	S1-073	Pseudomonas_E(G) S1-073
binning_output.153	4	1	0	2	0	0	7	0	0	6	0	0	0	3	20	Fluviicola(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Crocinitomicaceae;g__Fluviicola;s__	S1-153	Fluviicola(G) S1-153
binning_output.056	2	1	1	1	0	0	7	0	5	3	0	0	0	2	20	Aliarcobacter(G)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__	S1-056	Aliarcobacter(G) S1-056
binning_output.055	10	0	0	0	0	0	5	0	1	2	0	0	2	1	20	Enterobacterales(O)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__;g__;s__	S1-055	Enterobacterales(O) S1-055
binning_output.124	1	0	0	3	0	2	8	1	0	3	0	0	1	0	19	Yeosuana(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Yeosuana;s__	S1-124	Yeosuana(G) S1-124
binning_output.263	3	1	0	2	0	1	8	0	2	1	1	0	0	0	19	OLB19(G)	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA918;g__OLB19;s__	S1-263	OLB19(G) S1-263
binning_output.012	2	0	0	1	0	1	6	0	7	1	0	0	1	1	19	Aliarcobacter acticola(S)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Arcobacteraceae;g__Aliarcobacter;s__Aliarcobacter acticola	S1-012	Aliarcobacter acticola(S) S1-012
binning_output.170	0	3	1	2	0	1	9	0	0	3	0	0	0	1	19	Bacteroides(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__	S1-170	Bacteroides(G) S1-170
binning_output.035	6	1	3	3	0	0	0	0	1	5	0	0	0	0	19	Malikia spinosa(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Malikia;s__Malikia spinosa	S1-035	Malikia spinosa(S) S1-035
binning_output.246	3	1	2	0	0	0	6	0	1	5	0	0	0	2	18	Campylobacterales(O)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__;g__;s__	S1-246	Campylobacterales(O) S1-246
binning_output.099	5	0	0	2	0	1	4	0	3	2	0	0	1	1	18	JAGOXX01(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__JAGOXX01;s__	S1-099	JAGOXX01(G) S1-099
binning_output.202	4	0	0	7	0	0	3	0	3	0	0	0	1	0	18	JAFZMK01(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__JAFZMK01;s__	S1-202	JAFZMK01(G) S1-202
binning_output.206	4	0	0	3	0	0	1	1	7	1	0	0	1	0	18	Comamonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	S1-206	Comamonas(G) S1-206
binning_output.065	2	1	2	1	0	0	3	0	3	3	1	0	2	1	18	Shewanella xiamenensis(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Shewanellaceae;g__Shewanella;s__Shewanella xiamenensis	S1-065	Shewanella xiamenensis(S) S1-065
binning_output.210	4	0	0	2	1	3	1	0	3	3	0	0	1	1	18	Rhodocyclaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	S1-210	Rhodocyclaceae(F) S1-210
binning_output.108	3	0	2	1	0	0	3	0	2	7	0	0	0	0	18	RS62(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__RS62;s__	S1-108	RS62(G) S1-108
binning_output.048	1	0	2	2	0	1	7	0	2	1	0	0	1	0	17	Macromonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Macromonas;s__	S1-048	Macromonas(G) S1-048
binning_output.014	6	2	0	3	0	0	4	0	0	1	0	0	1	0	17	Bacteroides_I graminisolvens(S)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides_I;s__Bacteroides_I graminisolvens	S1-014	Bacteroides_I graminisolvens(S) S1-014
binning_output.143	2	0	0	1	0	0	5	0	4	5	0	0	0	0	17	DSM-21967(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__DSM-21967;g__;s__	S1-143	DSM-21967(F) S1-143
binning_output.066	2	1	0	2	0	0	4	1	3	4	0	0	0	1	17	Rhodocyclaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__;s__	S1-066	Rhodocyclaceae(F) S1-066
binning_output.061	1	0	0	1	1	0	7	0	4	3	0	0	0	0	17	JAFGUR01(G)	d__Bacteria;p__Fusobacteriota;c__Fusobacteriia;o__Fusobacteriales;f__Fusobacteriaceae;g__JAFGUR01;s__	S1-061	JAFGUR01(G) S1-061
binning_output.257	10	0	0	1	0	0	2	0	3	1	0	0	0	0	17	Burkholderiaceae_A(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae_A;g__;s__	S1-257	Burkholderiaceae_A(F) S1-257
binning_output.062	4	0	0	1	0	0	4	0	4	3	0	0	0	0	16	Azonexus(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Rhodocyclaceae;g__Azonexus;s__	S1-062	Azonexus(G) S1-062
binning_output.110	4	0	1	0	0	3	1	0	6	1	0	0	0	1	16	Unclassified Bacteria (D)	Unclassified Bacteria	S1-110	Unclassified Bacteria (D) S1-110
binning_output.207	2	0	1	0	0	2	4	0	0	7	0	0	0	0	16	Flavobacteriaceae(F)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	S1-207	Flavobacteriaceae(F) S1-207
binning_output.192	4	0	2	2	0	0	4	0	0	3	0	1	0	1	16	Flavobacterium(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	S1-192	Flavobacterium(G) S1-192
binning_output.017	0	2	0	0	0	1	4	0	4	3	1	0	0	0	15	Comamonas denitrificans_A(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__Comamonas denitrificans_A	S1-017	Comamonas denitrificans_A(S) S1-017
binning_output.021	6	0	1	1	1	0	3	0	0	3	0	0	0	0	15	Giesbergeria metamorpha(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Giesbergeria;s__Giesbergeria metamorpha	S1-021	Giesbergeria metamorpha(S) S1-021
binning_output.190	4	1	0	0	0	0	3	0	3	4	0	0	0	0	15	SAT41(F)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__SAT41;g__;s__	S1-190	SAT41(F) S1-190
binning_output.239	3	0	0	1	1	0	4	0	1	2	1	0	2	1	15	Flavobacteriaceae(F)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__;s__	S1-239	Flavobacteriaceae(F) S1-239
binning_output.127	3	0	0	2	1	1	3	0	0	5	0	0	0	2	15	Alistipes putredinis(S)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__Alistipes;s__Alistipes putredinis	S1-127	Alistipes putredinis(S) S1-127
binning_output.128	6	0	3	0	1	0	1	0	3	0	1	0	0	0	15	Pseudomonas_E(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	S1-128	Pseudomonas_E(G) S1-128
binning_output.034	6	0	0	0	0	0	2	0	6	0	0	0	1	0	15	Stutzerimonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Stutzerimonas;s__	S1-034	Stutzerimonas(G) S1-034
binning_output.085	1	0	1	0	0	3	1	1	4	2	0	0	1	0	14	Unclassified Bacteria (D)	Unclassified Bacteria	S1-085	Unclassified Bacteria (D) S1-085
binning_output.212	1	0	1	2	0	1	6	0	1	1	1	0	0	0	14	Unclassified Bacteria (D)	Unclassified Bacteria	S1-212	Unclassified Bacteria (D) S1-212
binning_output.106	7	1	0	1	0	1	2	0	0	2	0	0	0	0	14	Pseudomonadales(O)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__;g__;s__	S1-106	Pseudomonadales(O) S1-106
binning_output.155	4	0	0	0	2	0	6	0	1	1	0	0	0	2	14	Acetoanaerobium(G)	d__Bacteria;p__Bacillota_A;c__Clostridia;o__Peptostreptococcales;f__Filifactoraceae;g__Acetoanaerobium;s__	S1-155	Acetoanaerobium(G) S1-155
binning_output.090	0	1	0	3	0	0	4	0	1	3	0	0	2	1	14	Hydrogenophaga(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Hydrogenophaga;s__	S1-090	Hydrogenophaga(G) S1-090
binning_output.076	4	0	0	1	0	1	3	0	3	1	0	0	1	0	14	JALQUL01(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__JALQUL01;s__	S1-076	JALQUL01(G) S1-076
binning_output.010	5	0	1	4	0	1	2	0	0	0	0	0	1	0	14	Acinetobacter johnsonii(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__Acinetobacter johnsonii	S1-010	Acinetobacter johnsonii(S) S1-010
binning_output.069	4	0	0	1	0	0	3	0	3	3	0	0	0	0	14	Aquaspirillum(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Aquaspirillum;s__	S1-069	Aquaspirillum(G) S1-069
binning_output.084	1	0	1	3	1	1	4	1	0	2	0	0	0	0	14	Flavobacterium(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	S1-084	Flavobacterium(G) S1-084
binning_output.185	2	0	0	1	1	0	0	1	4	3	0	0	1	0	13	Rhodoferax(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Rhodoferax;s__	S1-185	Rhodoferax(G) S1-185
binning_output.191	7	0	0	2	1	0	1	1	0	1	0	0	0	0	13	Unclassified Bacteria (D)	Unclassified Bacteria	S1-191	Unclassified Bacteria (D) S1-191
binning_output.087	4	0	0	2	0	1	3	0	3	0	0	0	0	0	13	Sulfurospirillum sp001548035(S)	d__Bacteria;p__Campylobacterota;c__Campylobacteria;o__Campylobacterales;f__Sulfurospirillaceae;g__Sulfurospirillum;s__Sulfurospirillum sp001548035	S1-087	Sulfurospirillum sp001548035(S) S1-087
binning_output.175	1	0	1	1	0	0	4	0	0	2	1	0	3	0	13	Psychrobacter fulvigenes(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Psychrobacter;s__Psychrobacter fulvigenes	S1-175	Psychrobacter fulvigenes(S) S1-175
binning_output.025	4	0	0	1	0	0	1	0	5	1	0	0	1	0	13	Gammaproteobacteria(C)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__;f__;g__;s__	S1-025	Gammaproteobacteria(C) S1-025
binning_output.068	2	1	1	1	0	0	4	0	2	1	0	0	0	0	12	Unclassified Bacteria (D)	Unclassified Bacteria	S1-068	Unclassified Bacteria (D) S1-068
binning_output.118	4	0	1	1	0	0	1	0	2	2	0	0	1	0	12	Unclassified Bacteria (D)	Unclassified Bacteria	S1-118	Unclassified Bacteria (D) S1-118
binning_output.236	4	2	1	3	0	0	1	0	1	0	0	0	0	0	12	Unclassified Bacteria (D)	Unclassified Bacteria	S1-236	Unclassified Bacteria (D) S1-236
binning_output.046	3	0	1	0	0	0	2	0	2	4	0	0	0	0	12	Aquaspirillum(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Aquaspirillaceae;g__Aquaspirillum;s__	S1-046	Aquaspirillum(G) S1-046
binning_output.077	1	1	0	2	1	2	1	0	0	2	1	0	0	3	11	Polaribacter(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Polaribacter;s__	S1-077	Polaribacter(G) S1-077
binning_output.166	1	1	2	1	0	0	4	0	1	1	0	0	0	0	11	Parabacteroides distasonis(S)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides distasonis	S1-166	Parabacteroides distasonis(S) S1-166
binning_output.270	0	0	0	1	0	0	3	0	1	6	0	0	0	2	11	Marivivens geojensis(S)	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Rhodobacterales;f__Rhodobacteraceae;g__Marivivens;s__Marivivens geojensis	S1-270	Marivivens geojensis(S) S1-270
binning_output.028	1	1	0	1	0	1	1	0	3	3	0	0	0	0	11	Comamonas(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__Comamonas;s__	S1-028	Comamonas(G) S1-028
binning_output.037	6	0	0	0	0	0	1	0	1	1	0	0	1	0	10	Burkholderiaceae(F)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Burkholderiaceae;g__;s__	S1-037	Burkholderiaceae(F) S1-037
binning_output.117	1	1	1	2	1	0	3	0	0	0	0	0	1	2	10	JANQUM01(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Cytophagales;f__Spirosomataceae;g__JANQUM01;s__	S1-117	JANQUM01(G) S1-117
binning_output.126	1	1	0	0	0	0	6	0	1	1	0	0	0	1	10	Flavobacterium(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	S1-126	Flavobacterium(G) S1-126
binning_output.250	0	0	1	0	1	0	4	0	0	3	0	0	1	0	10	CAJJDF01(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__CAJJDF01;g__CAJJDF01;s__	S1-250	CAJJDF01(G) S1-250
binning_output.129	3	0	2	3	1	0	0	0	0	1	0	0	0	0	10	Pseudomonas_E(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Pseudomonas_E;s__	S1-129	Pseudomonas_E(G) S1-129
binning_output.050	3	0	0	1	0	0	4	0	0	1	0	0	0	0	9	Marinobacterium_E sp949499045(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Nitrincolaceae;g__Marinobacterium_E;s__Marinobacterium_E sp949499045	S1-050	Marinobacterium_E sp949499045(S) S1-050
binning_output.123	1	0	1	2	0	1	1	0	2	1	0	0	0	0	9	Olleya(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Olleya;s__	S1-123	Olleya(G) S1-123
binning_output.013	3	0	0	1	0	0	3	0	1	1	0	0	0	0	9	Tolumonas auensis(S)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Aeromonadaceae;g__Tolumonas;s__Tolumonas auensis	S1-013	Tolumonas auensis(S) S1-013
binning_output.220	4	1	0	2	0	0	1	0	1	0	0	0	0	1	9	Acinetobacter(G)	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Moraxellaceae;g__Acinetobacter;s__	S1-220	Acinetobacter(G) S1-220
binning_output.161	1	1	0	1	1	1	3	0	0	0	0	0	1	0	9	Prevotella(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Prevotella;s__	S1-161	Prevotella(G) S1-161
binning_output.100	2	1	0	0	0	1	1	0	1	3	0	0	0	0	9	OLB19(G)	d__Bacteria;p__Patescibacteria;c__Paceibacteria;o__UBA9973;f__UBA918;g__OLB19;s__	S1-100	OLB19(G) S1-100
binning_output.274	1	0	0	2	0	2	1	0	3	0	0	0	0	0	9	DZBG01(G)	d__Bacteria;p__Bdellovibrionota;c__Bacteriovoracia;o__Bacteriovoracales;f__Bacteriovoracaceae;g__DZBG01;s__	S1-274	DZBG01(G) S1-274
binning_output.254	1	0	0	3	0	1	0	0	0	3	0	0	0	0	8	Flavobacterium(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Flavobacteriales;f__Flavobacteriaceae;g__Flavobacterium;s__	S1-254	Flavobacterium(G) S1-254
binning_output.135	1	0	1	1	0	0	2	0	1	2	0	0	0	1	8	Egerieousia(G)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__UBA932;g__Egerieousia;s__	S1-135	Egerieousia(G) S1-135
binning_output.030	2	0	0	1	0	0	2	0	0	2	0	0	1	0	8	Macellibacteroides fermentans(S)	d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Macellibacteroides;s__Macellibacteroides fermentans	S1-030	Macellibacteroides fermentans(S) S1-030
